                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.57616,                0.68554,                 1.1811,                0.83826,                0.80995,                0.91491,                 0.8342,                0.44105,                0.58162,                0.95854,             0.00088309,             0.00088309,             0.00088309
                     98,                0.57385,                0.69344,                 1.1777,                0.82687,                0.82695,                0.91484,                0.83815,                0.44834,                0.60646,                0.96815,             0.00087484,             0.00087484,             0.00087484
                     99,                0.57748,                0.69102,                 1.1738,                0.77671,                0.85957,                 0.8855,                0.79784,                 0.4518,                0.67072,                0.96732,             0.00086659,             0.00086659,             0.00086659
                    100,                0.57007,                0.67487,                 1.1756,                0.80626,                0.85669,                0.93441,                 0.8461,                 0.4546,                0.61836,                0.97535,             0.00085834,             0.00085834,             0.00085834
                    101,                0.55772,                0.64904,                 1.1678,                0.83795,                0.92366,                0.93604,                 0.8525,                0.43453,                0.52694,                0.96898,             0.00085009,             0.00085009,             0.00085009
                    102,                0.57318,                0.66931,                 1.1701,                 0.7754,                0.81391,                 0.9238,                0.83389,                0.45036,                0.68666,                0.96529,             0.00084184,             0.00084184,             0.00084184
                    103,                0.57466,                0.68283,                 1.1818,                0.77628,                0.86827,                0.93157,                0.85296,                0.41767,                0.60126,                0.94517,             0.00083358,             0.00083358,             0.00083358
                    104,                0.56659,                0.70332,                 1.1683,                0.76127,                0.87674,                0.90938,                0.82478,                0.44376,                0.69991,                0.97105,             0.00082533,             0.00082533,             0.00082533
                    105,                0.55743,                0.64662,                 1.1482,                0.88953,                 0.8571,                0.92708,                0.85088,                0.42602,                0.50594,                 0.9581,             0.00081708,             0.00081708,             0.00081708
                    106,                0.56987,                 0.6618,                 1.1813,                0.72118,                0.88621,                0.91188,                 0.8323,                0.44475,                0.69315,                0.97669,             0.00080883,             0.00080883,             0.00080883
                    107,                  0.559,                0.66155,                 1.1602,                0.88292,                0.85841,                0.94133,                0.84949,                0.45877,                0.50953,                0.97131,             0.00080058,             0.00080058,             0.00080058
                    108,                 0.5556,                0.64253,                 1.1502,                0.91205,                0.85964,                0.94038,                0.86142,                0.45475,                0.49286,                0.97079,             0.00079233,             0.00079233,             0.00079233
                    109,                0.55912,                0.63029,                 1.1626,                0.93302,                0.87698,                0.93947,                0.85962,                 0.4405,                0.49385,                  0.964,             0.00078407,             0.00078407,             0.00078407
                    110,                0.56093,                0.66386,                 1.1679,                0.85048,                0.85549,                0.92277,                0.83564,                0.45527,                  0.552,                0.96346,             0.00077582,             0.00077582,             0.00077582
                    111,                 0.5683,                0.65716,                 1.1632,                0.86731,                 0.8977,                0.94254,                 0.8591,                0.44828,                0.50298,                0.97284,             0.00076757,             0.00076757,             0.00076757
                    112,                 0.5517,                0.60422,                 1.1528,                0.85308,                0.87906,                0.93729,                0.85625,                0.42822,                0.50738,                0.97055,             0.00075932,             0.00075932,             0.00075932
                    113,                0.55442,                0.63172,                 1.1517,                0.79406,                0.88309,                0.93624,                0.85137,                0.42825,                0.57804,                0.96684,             0.00075107,             0.00075107,             0.00075107
                    114,                0.53813,                0.60818,                 1.1268,                0.88872,                0.85848,                0.94584,                0.86495,                0.43896,                0.52471,                0.96378,             0.00074282,             0.00074282,             0.00074282
                    115,                0.54246,                0.60438,                 1.1543,                0.85154,                0.88404,                0.93709,                 0.8565,                0.44023,                0.50866,                0.96454,             0.00073456,             0.00073456,             0.00073456
                    116,                0.54295,                0.63021,                 1.1539,                0.86891,                0.88178,                0.93271,                0.84229,                 0.4333,                0.52265,                0.95837,             0.00072631,             0.00072631,             0.00072631
                    117,                0.54153,                0.64161,                 1.1523,                0.86733,                0.90654,                0.93571,                0.84975,                0.43206,                0.50696,                0.95636,             0.00071806,             0.00071806,             0.00071806
                    118,                0.52836,                0.62406,                 1.1398,                0.79132,                0.91265,                 0.9374,                0.86104,                  0.427,                0.51636,                 0.9576,             0.00070981,             0.00070981,             0.00070981
                    119,                0.52895,                0.63822,                 1.1319,                0.91101,                 0.8692,                0.92322,                0.84791,                0.42573,                0.48714,                0.95688,             0.00070156,             0.00070156,             0.00070156
                    120,                 0.5198,                0.61445,                 1.1207,                0.80494,                0.91972,                0.94435,                0.86552,                0.43767,                0.52367,                0.95927,             0.00069331,             0.00069331,             0.00069331
                    121,                0.54295,                0.60149,                 1.1512,                0.88106,                0.91558,                0.94751,                0.85848,                 0.4465,                0.47479,                0.96551,             0.00068505,             0.00068505,             0.00068505
                    122,                0.55792,                0.61306,                  1.149,                 0.8405,                0.87823,                0.93508,                0.85715,                0.43815,                0.54659,                0.96608,              0.0006768,              0.0006768,              0.0006768
                    123,                0.52422,                0.61577,                 1.1368,                0.85175,                0.87544,                0.93441,                0.85235,                0.43564,                0.54197,                0.95482,             0.00066855,             0.00066855,             0.00066855
                    124,                0.54039,                0.64498,                  1.142,                0.79588,                0.87888,                0.92938,                0.84783,                0.42447,                0.57258,                0.95192,              0.0006603,              0.0006603,              0.0006603
                    125,                0.55349,                0.60586,                 1.1474,                0.91321,                0.88573,                0.94621,                 0.8543,                0.47137,                0.45884,                0.97524,             0.00065205,             0.00065205,             0.00065205
                    126,                0.52504,                0.60271,                 1.1282,                 0.8007,                0.87887,                0.93155,                0.85133,                0.43817,                0.58464,                0.95672,              0.0006438,              0.0006438,              0.0006438
                    127,                0.52796,                0.60206,                 1.1408,                0.88667,                0.90976,                0.93541,                0.86012,                0.42211,                0.49035,                0.95334,             0.00063554,             0.00063554,             0.00063554
                    128,                0.53021,                0.58876,                 1.1378,                0.79342,                0.89936,                0.92313,                0.83067,                0.45715,                0.60916,                0.97475,             0.00062729,             0.00062729,             0.00062729
                    129,                0.54653,                0.62725,                 1.1547,                0.83061,                0.89146,                 0.9331,                0.85585,                0.42195,                0.52543,                0.95909,             0.00061904,             0.00061904,             0.00061904
                    130,                0.53925,                0.59584,                 1.1468,                0.83243,                0.88659,                0.92748,                0.85823,                 0.4218,                0.51063,                0.95122,             0.00061079,             0.00061079,             0.00061079
                    131,                0.53706,                 0.6002,                 1.1417,                0.89333,                0.90333,                0.93851,                 0.8607,                0.42013,                0.45074,                0.95298,             0.00060254,             0.00060254,             0.00060254
                    132,                0.55021,                0.58336,                 1.1543,                0.92267,                0.86291,                0.94093,                0.85946,                0.42415,                 0.4823,                0.94331,             0.00059429,             0.00059429,             0.00059429
                    133,                0.51036,                 0.5934,                 1.1326,                0.90201,                0.87775,                0.94142,                0.85953,                0.43839,                0.47346,                0.96057,             0.00058603,             0.00058603,             0.00058603
                    134,                0.53591,                0.60909,                 1.1417,                0.87141,                0.89157,                0.93811,                0.86559,                0.41808,                0.47791,                0.95063,             0.00057778,             0.00057778,             0.00057778
                    135,                0.51405,                0.55529,                  1.124,                0.90941,                0.88922,                0.92618,                0.84817,                0.43093,                0.46685,                0.95122,             0.00056953,             0.00056953,             0.00056953
                    136,                0.51825,                0.58523,                 1.1313,                0.91093,                0.88404,                0.93491,                0.85839,                0.42299,                0.45396,                0.95149,             0.00056128,             0.00056128,             0.00056128
                    137,                0.52711,                0.58729,                 1.1357,                0.85357,                0.92692,                0.94063,                0.86117,                0.42164,                0.47245,                0.95267,             0.00055303,             0.00055303,             0.00055303
                    138,                0.52301,                0.57587,                  1.126,                 0.8953,                0.91263,                0.94099,                0.85488,                0.43282,                0.46074,                0.96106,             0.00054478,             0.00054478,             0.00054478
                    139,                0.53186,                0.56988,                 1.1289,                 0.8506,                 0.8597,                0.92605,                0.85624,                0.42758,                0.54594,                0.95195,             0.00053652,             0.00053652,             0.00053652
                    140,                0.53841,                0.57431,                 1.1444,                0.88063,                0.91293,                0.93572,                0.86246,                0.43153,                0.47607,                0.95595,             0.00052827,             0.00052827,             0.00052827
                    141,                0.53142,                 0.5854,                  1.138,                0.91219,                 0.9105,                0.95155,                0.87313,                0.42662,                0.43125,                0.94919,             0.00052002,             0.00052002,             0.00052002
                    142,                0.53653,                0.56794,                 1.1375,                0.87882,                0.89097,                0.93291,                  0.863,                0.42555,                0.50488,                0.95576,             0.00051177,             0.00051177,             0.00051177
                    143,                 0.5264,                0.57768,                 1.1349,                0.87679,                0.91481,                0.93813,                 0.8595,                0.42383,                0.45247,                0.95074,             0.00050352,             0.00050352,             0.00050352
                    144,                0.51234,                0.57065,                 1.1186,                0.87324,                0.91389,                0.93444,                 0.8605,                0.41305,                0.47883,                 0.9497,             0.00049527,             0.00049527,             0.00049527
                    145,                0.53237,                0.56033,                 1.1375,                0.86738,                0.88958,                0.93893,                0.86214,                 0.4086,                0.48598,                0.95157,             0.00048701,             0.00048701,             0.00048701
                    146,                 0.5295,                0.56752,                 1.1344,                0.89518,                0.85061,                0.94251,                  0.864,                0.41099,                0.49519,                0.94766,             0.00047876,             0.00047876,             0.00047876
                    147,                0.49711,                 0.5768,                 1.1164,                0.89645,                0.90441,                0.93614,                0.86975,                0.40154,                0.46224,                0.94034,             0.00047051,             0.00047051,             0.00047051
                    148,                0.50628,                0.53497,                 1.1207,                0.87826,                0.91455,                0.94125,                0.87102,                 0.4054,                0.46473,                0.94317,             0.00046226,             0.00046226,             0.00046226
                    149,                 0.5204,                0.54115,                 1.1401,                0.84976,                0.90109,                0.94082,                0.86263,                0.42854,                0.49539,                0.95659,             0.00045401,             0.00045401,             0.00045401
                    150,                0.52257,                0.58676,                 1.1363,                  0.892,                0.92168,                0.94476,                0.85148,                0.43488,                0.44061,                0.96981,             0.00044576,             0.00044576,             0.00044576
                    151,                0.50197,                0.53162,                 1.1233,                0.87378,                0.91574,                0.93943,                0.86662,                0.41165,                0.44859,                 0.9482,              0.0004375,              0.0004375,              0.0004375
                    152,                0.50848,                0.57835,                 1.1259,                0.91342,                0.89529,                0.93795,                0.86254,                0.41598,                0.46402,                0.94843,             0.00042925,             0.00042925,             0.00042925
